n,factorial,tiempo_permutaciones,tiempo_hash,tiempo_primos
3,6,3.530000685714185e-05,4.939999780617654e-05,7.199996616691351e-06
4,24,1.3600001693703234e-05,1.1800002539530396e-05,5.699999746866524e-06
5,120,1.7400001524947584e-05,1.030000566970557e-05,5.099995178170502e-06
6,720,7.439999899361283e-05,1.0899995686486363e-05,5.599998985417187e-06
7,5040,0.0004411999980220571,1.0599993402138352e-05,5.599998985417187e-06
8,40320,0.0046864000032655895,2.720000338740647e-05,8.799994247965515e-06
9,362880,0.04674679999880027,3.7699996028095484e-05,9.99998883344233e-06
10,inf,,1.4000004739500582e-05,7.499998901039362e-06
50,inf,,3.0199997127056122e-05,2.2599997464567423e-05
100,inf,,4.540001100394875e-05,4.359999729786068e-05
500,inf,,0.00015839999832678586,0.00024130000383593142
1000,inf,,0.00029769999673590064,0.0006501000025309622
5000,inf,,0.001414800004567951,0.006736500014085323
10000,inf,,0.0031201999954646453,0.021676999996998347
50000,inf,,0.015000100000179373,0.41028899999218993
